Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
25/05/10 14:14,VR2W-104844,A69-9002-2116,,,16,ADC,,,
25/05/10 14:17,VR2W-104844,A69-9002-2116,,,15,ADC,,,
25/05/10 17:36,VR2W-104854,A69-9002-2116,,,4,ADC,,,
25/05/10 17:40,VR2W-104854,A69-9002-2116,,,4,ADC,,,
25/05/10 17:43,VR2W-104854,A69-9002-2116,,,4,ADC,,,
25/05/10 17:55,VR2W-104854,A69-9002-2116,,,4,ADC,,,
25/05/10 17:57,VR2W-104854,A69-9002-2116,,,4,ADC,,,
25/05/10 18:39,VR2W-104854,A69-9002-2116,,,8,ADC,,,
25/05/10 18:40,VR2W-104854,A69-9002-2116,,,4,ADC,,,
25/05/10 18:42,VR2W-104854,A69-9002-2116,,,4,ADC,,,
25/05/10 20:20,VR2W-104856,A69-9002-2116,,,5,ADC,,,
25/05/10 20:23,VR2W-104856,A69-9002-2116,,,6,ADC,,,
25/05/10 23:02,VR2W-104856,A69-9002-2116,,,11,ADC,,,
26/05/10 0:17,VR2W-104856,A69-9002-2116,,,15,ADC,,,
26/05/10 0:19,VR2W-104856,A69-9002-2116,,,15,ADC,,,
26/05/10 0:20,VR2W-104856,A69-9002-2116,,,13,ADC,,,
26/05/10 0:22,VR2W-104856,A69-9002-2116,,,11,ADC,,,
26/05/10 0:24,VR2W-104856,A69-9002-2116,,,13,ADC,,,
26/05/10 0:26,VR2W-104856,A69-9002-2116,,,16,ADC,,,
26/05/10 1:13,VR2W-104854,A69-9002-2116,,,6,ADC,,,
28/05/10 14:31,VR2W-109032,A69-9002-2116,,,4,ADC,,,
29/05/10 0:14,VR2W-109032,A69-9002-2116,,,11,ADC,,,
29/05/10 0:16,VR2W-109032,A69-9002-2116,,,9,ADC,,,
29/05/10 0:17,VR2W-109032,A69-9002-2116,,,8,ADC,,,
29/05/10 0:20,VR2W-109032,A69-9002-2116,,,9,ADC,,,
29/05/10 4:59,VR2W-109032,A69-9002-2116,,,5,ADC,,,
29/05/10 11:19,VR2W-109032,A69-9002-2116,,,12,ADC,,,
29/05/10 11:22,VR2W-109032,A69-9002-2116,,,4,ADC,,,
29/05/10 11:25,VR2W-109032,A69-9002-2116,,,4,ADC,,,
3/06/10 14:05,VR2W-109032,A69-9002-2116,,,14,ADC,,,
4/06/10 9:49,VR2W-109032,A69-9002-2116,,,6,ADC,,,
10/06/10 22:00,VR2W-109032,A69-9002-2116,,,13,ADC,,,
10/06/10 22:02,VR2W-109032,A69-9002-2116,,,13,ADC,,,
10/06/10 22:08,VR2W-109032,A69-9002-2116,,,13,ADC,,,
15/06/10 19:18,VR2W-109032,A69-9002-2116,,,4,ADC,,,
15/06/10 19:20,VR2W-109032,A69-9002-2116,,,4,ADC,,,
28/06/10 18:19,VR2W-104854,A69-9002-2116,,,9,ADC,,,
28/06/10 18:21,VR2W-104854,A69-9002-2116,,,9,ADC,,,
28/06/10 18:23,VR2W-104854,A69-9002-2116,,,7,ADC,,,
28/06/10 18:25,VR2W-104854,A69-9002-2116,,,7,ADC,,,
28/06/10 18:27,VR2W-104854,A69-9002-2116,,,7,ADC,,,
29/06/10 0:08,VR2W-104854,A69-9002-2116,,,7,ADC,,,
29/06/10 0:11,VR2W-104854,A69-9002-2116,,,4,ADC,,,
29/06/10 0:14,VR2W-104854,A69-9002-2116,,,4,ADC,,,
29/06/10 0:17,VR2W-104854,A69-9002-2116,,,5,ADC,,,
29/06/10 0:22,VR2W-104854,A69-9002-2116,,,8,ADC,,,
29/06/10 0:29,VR2W-104853,A69-9002-2116,,,4,ADC,,,
29/06/10 0:32,VR2W-104853,A69-9002-2116,,,5,ADC,,,
29/06/10 0:34,VR2W-104853,A69-9002-2116,,,7,ADC,,,
29/06/10 0:37,VR2W-103917,A69-9002-2116,,,4,ADC,,,
29/06/10 0:44,VR2W-104845,A69-9002-2116,,,4,ADC,,,
29/06/10 0:44,VR2W-103918,A69-9002-2116,,,7,ADC,,,
29/06/10 0:47,VR2W-104850,A69-9002-2116,,,7,ADC,,,
29/06/10 0:47,VR2W-103918,A69-9002-2116,,,4,ADC,,,
29/06/10 0:48,VR2W-103920,A69-9002-2116,,,4,ADC,,,
29/06/10 0:48,VR2W-103921,A69-9002-2116,,,4,ADC,,,
29/06/10 0:48,VR2W-104849,A69-9002-2116,,,4,ADC,,,
29/06/10 0:49,VR2W-104850,A69-9002-2116,,,7,ADC,,,
29/06/10 0:49,VR2W-103917,A69-9002-2116,,,4,ADC,,,
29/06/10 0:50,VR2W-104850,A69-9002-2116,,,4,ADC,,,
29/06/10 0:50,VR2W-104860,A69-9002-2116,,,4,ADC,,,
29/06/10 0:51,VR2W-104845,A69-9002-2116,,,5,ADC,,,
29/06/10 0:52,VR2W-104850,A69-9002-2116,,,5,ADC,,,
29/06/10 1:00,VR2W-109050,A69-9002-2116,,,4,ADC,,,
29/06/10 1:03,VR2W-109050,A69-9002-2116,,,4,ADC,,,
29/06/10 1:09,VR2W-109050,A69-9002-2116,,,4,ADC,,,
29/06/10 1:23,VR2W-104853,A69-9002-2116,,,8,ADC,,,
29/06/10 1:24,VR2W-104853,A69-9002-2116,,,7,ADC,,,
29/06/10 1:26,VR2W-104853,A69-9002-2116,,,4,ADC,,,
29/06/10 1:28,VR2W-104853,A69-9002-2116,,,5,ADC,,,
29/06/10 1:31,VR2W-104853,A69-9002-2116,,,10,ADC,,,
29/06/10 1:40,VR2W-104852,A69-9002-2116,,,8,ADC,,,
4/07/10 15:56,VR2W-104858,A69-9002-2116,,,6,ADC,,,
4/07/10 15:58,VR2W-104858,A69-9002-2116,,,9,ADC,,,
4/07/10 16:00,VR2W-104858,A69-9002-2116,,,12,ADC,,,
4/07/10 16:02,VR2W-104858,A69-9002-2116,,,12,ADC,,,
4/07/10 16:05,VR2W-104858,A69-9002-2116,,,11,ADC,,,
5/07/10 20:14,VR2W-109032,A69-9002-2116,,,8,ADC,,,
5/07/10 20:17,VR2W-109032,A69-9002-2116,,,10,ADC,,,
5/07/10 20:19,VR2W-109032,A69-9002-2116,,,14,ADC,,,
5/07/10 20:22,VR2W-109032,A69-9002-2116,,,16,ADC,,,
5/07/10 20:24,VR2W-109032,A69-9002-2116,,,18,ADC,,,
5/07/10 20:26,VR2W-109032,A69-9002-2116,,,17,ADC,,,
5/07/10 20:27,VR2W-109032,A69-9002-2116,,,17,ADC,,,
5/07/10 20:30,VR2W-109032,A69-9002-2116,,,16,ADC,,,
5/07/10 20:31,VR2W-109032,A69-9002-2116,,,16,ADC,,,
5/07/10 20:37,VR2W-109032,A69-9002-2116,,,15,ADC,,,
21/07/10 0:03,VR2W-104857,A69-9002-2116,,,4,ADC,,,
21/07/10 0:05,VR2W-104857,A69-9002-2116,,,4,ADC,,,
21/07/10 0:06,VR2W-104857,A69-9002-2116,,,4,ADC,,,
27/07/10 20:26,VR2W-104857,A69-9002-2116,,,8,ADC,,,
27/07/10 20:27,VR2W-104857,A69-9002-2116,,,8,ADC,,,
27/07/10 20:31,VR2W-104857,A69-9002-2116,,,13,ADC,,,
27/07/10 20:33,VR2W-104857,A69-9002-2116,,,16,ADC,,,
28/07/10 2:21,VR2W-104857,A69-9002-2116,,,6,ADC,,,
